frame    centroid_x  resid_x    centroid_y  resid_y
    0      1265.50    -0.44       583.50    +0.00
    1      1269.50    -0.31       585.50    +0.00
    2      1273.50    -0.19       587.50    +0.00
    3      1277.50    -0.06       589.50    +0.00
    4      1281.50    +0.06       591.50    +0.00
    5      1285.50    +0.19       593.50    +0.00
    6      1289.50    +0.31       595.50    +0.00
    7      1293.50    +0.44       597.50    +0.00
    8      1297.50    +0.56       599.50    +0.00
    9      1301.50    +0.69       601.50    +0.00
   10      1305.50    +0.81       603.50    +0.00
   11      1309.50    +0.94       605.50    +0.00
   12      1311.50    -0.94       607.50    +0.00
   13      1315.50    -0.81       609.50    +0.00
   14      1319.50    -0.69       611.50    +0.00
   15      1323.50    -0.56       613.50    +0.00
   16      1327.50    -0.44       615.50    +0.00
   17      1331.50    -0.31       617.50    +0.00
   18      1335.50    -0.19       619.50    +0.00
   19      1339.50    -0.06       621.50    +0.00
   20      1343.50    +0.06       623.50    +0.00
   21      1347.50    +0.19       625.50    +0.00
   22      1351.50    +0.31       627.50    +0.00
   23      1355.50    +0.44       629.50    +0.00
jitter_probe: frames=24 (valid=24)  verdict=SMOOTH
  x: reversals=0  max_residual=0.94px  excursion=90.00px  delta_std=0.41  delta_max=4.00
  y: reversals=0  max_residual=0.00px  excursion=46.00px  delta_std=0.00  delta_max=2.00
  (thresholds: reversals=0, max_residual<=1.50px)
