frame    centroid_x  resid_x    centroid_y  resid_y
    0      1261.50    -7.52       615.50    +0.52
    1      1265.50    -6.52       617.50    +1.26
    2      1269.50    -5.52       617.50    -0.01
    3      1273.50    -4.51       619.50    +0.73
    4      1277.50    -3.51       619.50    -0.53
    5      1281.50    -2.51       621.50    +0.21
    6      1285.50    -1.51       623.50    +0.94
    7      1289.50    -0.51       623.50    -0.32
    8      1295.50    +2.49       625.50    +0.42
    9      1299.50    +3.50       625.50    -0.84
   10      1303.50    +4.50       627.50    -0.11
   11      1307.50    +5.50       627.50    -1.37
   12      1311.50    +6.50       629.50    -0.63
   13      1315.50    +7.50       631.50    +0.11
   14      1319.50    +8.50       631.50    -1.16
   15      1323.50    +9.51       633.50    -0.42
   16      1327.50   +10.51       633.50    -1.68
   17      1331.50   +11.51       635.50    -0.94
   18      1335.50   +12.51       637.50    -0.21
   19      1339.50   +13.51       637.50    -1.47
   20      1311.50   -17.49       641.50    +1.27
   21      1315.50   -16.48       643.50    +2.01
   22      1319.50   -15.48       643.50    +0.74
   23      1323.50   -14.48       645.50    +1.48
jitter_probe: frames=24 (valid=24)  verdict=JITTER
  x: reversals=2  max_residual=17.49px  excursion=78.00px  delta_std=6.56  delta_max=28.00
  y: reversals=0  max_residual=2.01px  excursion=30.00px  delta_std=1.12  delta_max=4.00
  (thresholds: reversals=0, max_residual<=1.50px)
