frame    centroid_x  resid_x    centroid_y  resid_y
    0      1279.50   +14.08       543.50   -19.84
    1      1279.50   +10.07       543.50   -22.29
    2      1279.50    +6.07       543.50   -24.74
    3      1279.50    +2.06       543.50   -27.19
    4      1279.50    -1.95       607.50   +34.37
    5      1279.50    -5.95       607.50   +31.92
    6      1279.50    -9.96       607.50   +29.47
    7      1279.50   -13.97       607.50   +27.02
    8      1279.50   -17.98       607.50   +24.57
    9      1279.50   -21.98       607.50   +22.12
   10      1279.50   -25.99       607.50   +19.67
   11      1279.50   -30.00       607.50   +17.22
   12      1343.50   +30.00       575.50   -17.22
   13      1343.50   +25.99       575.50   -19.67
   14      1343.50   +21.98       575.50   -22.12
   15      1343.50   +17.98       575.50   -24.57
   16      1343.50   +13.97       575.50   -27.02
   17      1343.50    +9.96       575.50   -29.47
   18      1343.50    +5.95       575.50   -31.92
   19      1343.50    +1.95       575.50   -34.37
   20      1343.50    -2.06       639.50   +27.19
   21      1343.50    -6.07       639.50   +24.74
   22      1343.50   -10.07       639.50   +22.29
   23      1343.50   -14.08       639.50   +19.84
jitter_probe: frames=24 (valid=24)  verdict=JITTER
  x: reversals=0  max_residual=30.00px  excursion=64.00px  delta_std=13.05  delta_max=64.00
  y: reversals=2  max_residual=34.37px  excursion=96.00px  delta_std=19.58  delta_max=64.00
  (thresholds: reversals=0, max_residual<=1.50px)
